Country,Year,Subcommodity,Production (in tonnes),Source
Australia,1950,ilmenite,56,USGS
Australia,1950,ilmenite and leucoxene,56,USGS
Australia,1950,leucoxene,0,USGS
Australia,1950,rutile,19825,USGS
Australia,1950,titanium ores and concentrates,19881,USGS
Australia,1951,ilmenite,1403,USGS
Australia,1951,ilmenite and leucoxene,1403,USGS
Australia,1951,leucoxene,0,USGS
Australia,1951,rutile,39412,USGS
Australia,1951,titanium ores and concentrates,40815,USGS
Australia,1952,ilmenite,52,USGS
Australia,1952,ilmenite and leucoxene,52,USGS
Australia,1952,leucoxene,0,USGS
Australia,1952,rutile,42576,USGS
Australia,1952,titanium ores and concentrates,42628,USGS
Australia,1953,ilmenite,0,USGS
Australia,1953,ilmenite and leucoxene,0,USGS
Australia,1953,leucoxene,0,USGS
Australia,1953,rutile,42604,USGS
Australia,1953,titanium ores and concentrates,42604,USGS
Australia,1954,ilmenite,526,USGS
Australia,1954,ilmenite and leucoxene,526,USGS
Australia,1954,leucoxene,0,USGS
Australia,1954,rutile,50018,USGS
Australia,1954,titanium ores and concentrates,50544,USGS
Australia,1955,ilmenite,600,USGS
Australia,1955,ilmenite and leucoxene,600,USGS
Australia,1955,leucoxene,0,USGS
Australia,1955,rutile,66767,USGS
Australia,1955,titanium ores and concentrates,67367,USGS
Australia,1956,ilmenite,4787,USGS
Australia,1956,ilmenite and leucoxene,4787,USGS
Australia,1956,leucoxene,0,USGS
Australia,1956,rutile,108434,USGS
Australia,1956,titanium ores and concentrates,113221,USGS
Australia,1957,ilmenite,79694,USGS
Australia,1957,ilmenite and leucoxene,79694,USGS
Australia,1957,leucoxene,0,USGS
Australia,1957,rutile,144372,USGS
Australia,1957,titanium ores and concentrates,224066,USGS
Australia,1958,ilmenite,78342,USGS
Australia,1958,ilmenite and leucoxene,78342,USGS
Australia,1958,leucoxene,0,USGS
Australia,1958,rutile,93327,USGS
Australia,1958,titanium ores and concentrates,171669,USGS
Australia,1959,ilmenite,93606,USGS
Australia,1959,ilmenite and leucoxene,93606,USGS
Australia,1959,leucoxene,0,USGS
Australia,1959,rutile,91734,USGS
Australia,1959,titanium ores and concentrates,185340,USGS
Australia,1960,ilmenite,119377,USGS
Australia,1960,ilmenite and leucoxene,119377,USGS
Australia,1960,leucoxene,0,USGS
Australia,1960,rutile,99274,USGS
Australia,1960,titanium ores and concentrates,218651,USGS
Australia,1961,ilmenite,186369,USGS
Australia,1961,ilmenite and leucoxene,186369,USGS
Australia,1961,leucoxene,0,USGS
Australia,1961,rutile,113603,USGS
Australia,1961,titanium ores and concentrates,299972,USGS
Australia,1962,ilmenite,200332,USGS
Australia,1962,ilmenite and leucoxene,200332,USGS
Australia,1962,leucoxene,0,USGS
Australia,1962,rutile,133499,USGS
Australia,1962,titanium ores and concentrates,333831,USGS
Australia,1963,ilmenite,225715,USGS
Australia,1963,ilmenite and leucoxene,225715,USGS
Australia,1963,leucoxene,0,USGS
Australia,1963,rutile,205251,USGS
Australia,1963,titanium ores and concentrates,430966,USGS
Australia,1964,ilmenite and leucoxene,340799,USGS
Australia,1964,rutile,204256,USGS
Australia,1964,titanium ores and concentrates,545055,USGS
Australia,1965,ilmenite and leucoxene,494385,USGS
Australia,1965,rutile,243410,USGS
Australia,1965,titanium ores and concentrates,737795,USGS
Australia,1966,ilmenite and leucoxene,575420,USGS
Australia,1966,rutile,273122,USGS
Australia,1966,titanium ores and concentrates,848542,USGS
Australia,1967,ilmenite and leucoxene,610303,USGS
Australia,1967,rutile,297376,USGS
Australia,1967,titanium ores and concentrates,907679,USGS
Australia,1968,ilmenite and leucoxene,619481,USGS
Australia,1968,rutile,322131,USGS
Australia,1968,titanium ores and concentrates,941612,USGS
Australia,1969,ilmenite and leucoxene,794239,USGS
Australia,1969,rutile,399100,USGS
Australia,1969,titanium ores and concentrates,1193339,USGS
Australia,1970,ilmenite and leucoxene,988820,USGS
Australia,1970,rutile,405156,USGS
Australia,1970,titanium ores and concentrates,1393976,USGS
Australia,1971,ilmenite and leucoxene,914116,USGS
Australia,1971,rutile,404233,USGS
Australia,1971,titanium ores and concentrates,1318349,USGS
Australia,1972,ilmenite and leucoxene,791616,USGS
Australia,1972,rutile,345176,USGS
Australia,1972,titanium ores and concentrates,1136792,USGS
Australia,1973,ilmenite and leucoxene,793223,USGS
Australia,1973,rutile,369528,USGS
Australia,1973,titanium ores and concentrates,1162751,USGS
Australia,1974,ilmenite,899678,USGS
Australia,1974,ilmenite and leucoxene,916602,USGS
Australia,1974,leucoxene,16924,USGS
Australia,1974,rutile,351308,USGS
Australia,1974,titanium ores and concentrates,1267910,USGS
Australia,1975,ilmenite,1092867,USGS
Australia,1975,ilmenite and leucoxene,1111464,USGS
Australia,1975,leucoxene,18597,USGS
Australia,1975,rutile,383990,USGS
Australia,1975,titanium ores and concentrates,1495454,USGS
Australia,1976,ilmenite,1057339,USGS
Australia,1976,ilmenite and leucoxene,1070934,USGS
Australia,1976,leucoxene,13595,USGS
Australia,1976,rutile,429625,USGS
Australia,1976,titanium ores and concentrates,1500559,USGS
Australia,1977,ilmenite,1138687,USGS
Australia,1977,ilmenite and leucoxene,1150395,USGS
Australia,1977,leucoxene,11708,USGS
Australia,1977,rutile,358561,USGS
Australia,1977,titanium ores and concentrates,1508956,USGS
Australia,1978,ilmenite,1383400,USGS
Australia,1978,ilmenite and leucoxene,1401152,USGS
Australia,1978,leucoxene,17752,USGS
Australia,1978,rutile,283376,USGS
Australia,1978,titanium ores and concentrates,1684528,USGS
Australia,1979,ilmenite,1301889,USGS
Australia,1979,ilmenite and leucoxene,1326658,USGS
Australia,1979,leucoxene,24769,USGS
Australia,1979,rutile,302620,USGS
Australia,1979,titanium ores and concentrates,1629278,USGS
Australia,1980,ilmenite,1526217,USGS
Australia,1980,ilmenite and leucoxene,1552610,USGS
Australia,1980,leucoxene,26393,USGS
Australia,1980,rutile,343639,USGS
Australia,1980,titanium ores and concentrates,1896249,USGS
Australia,1981,ilmenite,1456303,USGS
Australia,1981,ilmenite and leucoxene,1477535,USGS
Australia,1981,leucoxene,21232,USGS
Australia,1981,rutile,254432,USGS
Australia,1981,titanium ores and concentrates,1731967,USGS
Australia,1982,ilmenite,1266758,USGS
Australia,1982,ilmenite and leucoxene,1288516,USGS
Australia,1982,leucoxene,21758,USGS
Australia,1982,rutile,243277,USGS
Australia,1982,titanium ores and concentrates,1531793,USGS
Australia,1983,ilmenite,987900,USGS
Australia,1983,ilmenite and leucoxene,1002625,USGS
Australia,1983,leucoxene,14725,USGS
Australia,1983,rutile,180089,USGS
Australia,1983,titanium ores and concentrates,1182714,USGS
Australia,1984,ilmenite,1645937,USGS
Australia,1984,ilmenite and leucoxene,1681332,USGS
Australia,1984,leucoxene,35395,USGS
Australia,1984,rutile,187860,USGS
Australia,1984,titanium ores and concentrates,1869192,USGS
Australia,1985,ilmenite,1418867,USGS
Australia,1985,ilmenite and leucoxene,1432676,USGS
Australia,1985,leucoxene,13809,USGS
Australia,1985,rutile,211615,USGS
Australia,1985,titanium ores and concentrates,1644291,USGS
Australia,1986,ilmenite,1237694,USGS
Australia,1986,ilmenite and leucoxene,1251837,USGS
Australia,1986,leucoxene,14143,USGS
Australia,1986,rutile,215774,USGS
Australia,1986,titanium ores and concentrates,1467611,USGS
Australia,1987,ilmenite,1498087,USGS
Australia,1987,ilmenite and leucoxene,1509377,USGS
Australia,1987,leucoxene,11290,USGS
Australia,1987,rutile,246263,USGS
Australia,1987,titanium ores and concentrates,1755640,USGS
Australia,1988,ilmenite,1610175,USGS
Australia,1988,ilmenite and leucoxene,1621917,USGS
Australia,1988,leucoxene,11742,USGS
Australia,1988,rutile,230637,USGS
Australia,1988,titanium ores and concentrates,1852554,USGS
Australia,1989,ilmenite,1696000,USGS
Australia,1989,ilmenite and leucoxene,1714000,USGS
Australia,1989,leucoxene,18000,USGS
Australia,1989,rutile,243000,USGS
Australia,1989,titanium ores and concentrates,1957000,USGS
Australia,1990,ilmenite,1600000,USGS
Australia,1990,ilmenite and leucoxene,1619000,USGS
Australia,1990,leucoxene,19000,USGS
Australia,1990,rutile,245000,USGS
Australia,1990,titanium ores and concentrates,1864000,USGS
Australia,1991,ilmenite,1363000,USGS
Australia,1991,ilmenite and leucoxene,1381000,USGS
Australia,1991,leucoxene,18000,USGS
Australia,1991,rutile,201000,USGS
Australia,1991,titanium ores and concentrates,1582000,USGS
Australia,1992,ilmenite,1786000,USGS
Australia,1992,ilmenite and leucoxene,1806000,USGS
Australia,1992,leucoxene,20000,USGS
Australia,1992,rutile,183000,USGS
Australia,1992,titanium ores and concentrates,1989000,USGS
Australia,1993,ilmenite,1804000,USGS
Australia,1993,ilmenite and leucoxene,1825000,USGS
Australia,1993,leucoxene,21000,USGS
Australia,1993,rutile,186000,USGS
Australia,1993,titanium ores and concentrates,2011000,USGS
Australia,1994,ilmenite,1782000,USGS
Australia,1994,ilmenite and leucoxene,1817000,USGS
Australia,1994,leucoxene,35000,USGS
Australia,1994,rutile,233000,USGS
Australia,1994,titanium ores and concentrates,2015000,USGS
Australia,1995,ilmenite,1980000,USGS
Australia,1995,ilmenite and leucoxene,2011000,USGS
Australia,1995,leucoxene,31000,USGS
Australia,1995,rutile,195000,USGS
Australia,1995,titanium ores and concentrates,2175000,USGS
Australia,1996,ilmenite,2028000,USGS
Australia,1996,ilmenite and leucoxene,2061000,USGS
Australia,1996,leucoxene,33000,USGS
Australia,1996,rutile,180000,USGS
Australia,1996,titanium ores and concentrates,2208000,USGS
Australia,1997,ilmenite,2233000,USGS
Australia,1997,ilmenite and leucoxene,2265000,USGS
Australia,1997,leucoxene,32000,USGS
Australia,1997,rutile,233000,USGS
Australia,1997,titanium ores and concentrates,2466000,USGS
Australia,1998,ilmenite,2413000,USGS
Australia,1998,ilmenite and leucoxene,2443000,USGS
Australia,1998,leucoxene,30000,USGS
Australia,1998,rutile,238000,USGS
Australia,1998,titanium ores and concentrates,2681000,USGS
Australia,1999,ilmenite,1976000,USGS
Australia,1999,ilmenite and leucoxene,2008000,USGS
Australia,1999,leucoxene,32000,USGS
Australia,1999,rutile,179000,USGS
Australia,1999,titanium ores and concentrates,2187000,USGS
Australia,2000,ilmenite,2146000,USGS
Australia,2000,ilmenite and leucoxene,2173000,USGS
Australia,2000,leucoxene,27000,USGS
Australia,2000,rutile,208000,USGS
Australia,2000,titanium ores and concentrates,2381000,USGS
Australia,2001,ilmenite,2017000,USGS
Australia,2001,ilmenite and leucoxene,2047000,USGS
Australia,2001,leucoxene,30000,USGS
Australia,2001,rutile,206000,USGS
Australia,2001,titanium ores and concentrates,2253000,USGS
Australia,2002,ilmenite,1917000,USGS
Australia,2002,ilmenite and leucoxene,1956000,USGS
Australia,2002,leucoxene,39000,USGS
Australia,2002,rutile,218000,USGS
Australia,2002,titanium ores and concentrates,2174000,USGS
Australia,2003,ilmenite,2006000,USGS
Australia,2003,ilmenite and leucoxene,2063000,USGS
Australia,2003,leucoxene,57000,USGS
Australia,2003,rutile,173000,USGS
Australia,2003,titanium ores and concentrates,2236000,USGS
Australia,2004,ilmenite,1921000,USGS
Australia,2004,ilmenite and leucoxene,1965000,USGS
Australia,2004,leucoxene,45000,USGS
Australia,2004,rutile,162000,USGS
Australia,2004,titanium ores and concentrates,2127000,USGS
Australia,2005,ilmenite,2034000,USGS
Australia,2005,ilmenite and leucoxene,2080000,USGS
Australia,2005,leucoxene,55000,USGS
Australia,2005,rutile,177000,USGS
Australia,2005,titanium ores and concentrates,2257000,USGS
Australia,2006,ilmenite and leucoxene,2508000,USGS
Australia,2006,rutile,232000,USGS
Australia,2006,titanium ores and concentrates,2740000,USGS
Australia,2007,ilmenite and leucoxene,2503000,USGS
Australia,2007,rutile,312000,USGS
Australia,2007,titanium ores and concentrates,2815000,USGS
Australia,2008,ilmenite and leucoxene,2230000,USGS
Australia,2008,rutile,325000,USGS
Australia,2008,titanium ores and concentrates,2555000,USGS
Australia,2009,ilmenite and leucoxene,1611000,USGS
Australia,2009,rutile,285000,USGS
Australia,2009,titanium ores and concentrates,1896000,USGS
Australia,2010,ilmenite and leucoxene,1651000,USGS
Australia,2010,rutile,429000,USGS
Australia,2010,titanium ores and concentrates,2080000,USGS
Australia,2011,ilmenite and leucoxene,1501000,USGS
Australia,2011,rutile,474000,USGS
Australia,2011,titanium ores and concentrates,1975000,USGS
Australia,2012,ilmenite and leucoxene,1570000,USGS
Australia,2012,rutile,439000,USGS
Australia,2012,titanium ores and concentrates,2009000,USGS
Australia,2013,ilmenite and leucoxene,1562000,USGS
Australia,2013,rutile,232000,USGS
Australia,2013,titanium ores and concentrates,1794000,USGS
Australia,2014,ilmenite and leucoxene,1250000,USGS
Australia,2014,rutile,212000,USGS
Australia,2014,titanium ores and concentrates,1462000,USGS
Australia,2015,ilmenite and leucoxene,1156000,USGS
Australia,2015,rutile,320000,USGS
Australia,2015,titanium ores and concentrates,1476000,USGS
Australia,2016,ilmenite and leucoxene,1400000,USGS
Australia,2016,rutile,300000,USGS
Australia,2016,titanium ores and concentrates,1700000,USGS
Australia,2017,ilmenite and leucoxene,1500000,USGS
Australia,2017,rutile,300000,USGS
Australia,2017,titanium ores and concentrates,1800000,USGS
Australia,2018,ilmenite and leucoxene,1400000,USGS
Australia,2018,rutile,200000,USGS
Australia,2018,titanium ores and concentrates,1600000,USGS
Australia,2019,ilmenite and leucoxene,1000000,USGS
Australia,2019,rutile,200000,USGS
Australia,2019,titanium ores and concentrates,1200000,USGS
Australia,2020,ilmenite and leucoxene,1100000,USGS
Australia,2020,rutile,200000,USGS
Australia,2020,titanium ores and concentrates,1300000,USGS
Australia,2021,ilmenite and leucoxene,600000,USGS
Australia,2021,rutile,200000,USGS
Australia,2021,titanium ores and concentrates,800000,USGS
Australia,2022,ilmenite and leucoxene,600000,USGS
Australia,2022,rutile,200000,USGS
Australia,2022,titanium ores and concentrates,800000,USGS
Brazil,1950,ilmenite and leucoxene,0,USGS
Brazil,1950,rutile,6,USGS
Brazil,1950,titanium ores and concentrates,6,USGS
Brazil,1951,ilmenite and leucoxene,0,USGS
Brazil,1951,rutile,0,USGS
Brazil,1951,titanium ores and concentrates,0,USGS
Brazil,1952,ilmenite and leucoxene,0,USGS
Brazil,1952,rutile,19,USGS
Brazil,1952,titanium ores and concentrates,19,USGS
Brazil,1953,ilmenite and leucoxene,0,USGS
Brazil,1953,rutile,0,USGS
Brazil,1953,titanium ores and concentrates,0,USGS
Brazil,1954,rutile,120,USGS
Brazil,1954,titanium ores and concentrates,120,USGS
Brazil,1955,rutile,174,USGS
Brazil,1955,titanium ores and concentrates,174,USGS
Brazil,1956,rutile,338,USGS
Brazil,1956,titanium ores and concentrates,338,USGS
Brazil,1957,rutile,270,USGS
Brazil,1957,titanium ores and concentrates,270,USGS
Brazil,1958,rutile,269,USGS
Brazil,1959,rutile,231,USGS
Brazil,1960,rutile,238,USGS
Brazil,1961,ilmenite and leucoxene,8005,USGS
Brazil,1961,rutile,422,USGS
Brazil,1961,titanium ores and concentrates,8427,USGS
Brazil,1962,ilmenite and leucoxene,5891,USGS
Brazil,1962,rutile,388,USGS
Brazil,1962,titanium ores and concentrates,6279,USGS
Brazil,1963,ilmenite and leucoxene,6484,USGS
Brazil,1963,rutile,429,USGS
Brazil,1963,titanium ores and concentrates,6913,USGS
Brazil,1964,ilmenite and leucoxene,9117,USGS
Brazil,1964,rutile,315,USGS
Brazil,1964,titanium ores and concentrates,9432,USGS
Brazil,1965,ilmenite and leucoxene,10796,USGS
Brazil,1965,rutile,397,USGS
Brazil,1965,titanium ores and concentrates,11193,USGS
Brazil,1966,ilmenite and leucoxene,14920,USGS
Brazil,1966,rutile,37,USGS
Brazil,1966,titanium ores and concentrates,14957,USGS
Brazil,1967,ilmenite and leucoxene,16498,USGS
Brazil,1967,rutile,321,USGS
Brazil,1967,titanium ores and concentrates,16819,USGS
Brazil,1968,ilmenite and leucoxene,19710,USGS
Brazil,1968,rutile,126,USGS
Brazil,1968,titanium ores and concentrates,19836,USGS
Brazil,1969,ilmenite and leucoxene,22358,USGS
Brazil,1969,rutile,10,USGS
Brazil,1969,titanium ores and concentrates,22358,USGS
Brazil,1970,ilmenite and leucoxene,22756,USGS
Brazil,1970,rutile,258,USGS
Brazil,1970,titanium ores and concentrates,23014,USGS
Brazil,1971,ilmenite and leucoxene,10906,USGS
Brazil,1971,rutile,129,USGS
Brazil,1971,titanium ores and concentrates,11035,USGS
Brazil,1972,ilmenite and leucoxene,4179,USGS
Brazil,1972,rutile,454,USGS
Brazil,1972,titanium ores and concentrates,4633,USGS
Brazil,1973,ilmenite and leucoxene,11355,USGS
Brazil,1973,rutile,196,USGS
Brazil,1973,titanium ores and concentrates,11551,USGS
Brazil,1974,ilmenite and leucoxene,7433,USGS
Brazil,1974,rutile,161,USGS
Brazil,1974,titanium ores and concentrates,7594,USGS
Brazil,1975,ilmenite and leucoxene,5066,USGS
Brazil,1975,rutile,115,USGS
Brazil,1975,titanium ores and concentrates,5181,USGS
Brazil,1976,ilmenite and leucoxene,16110,USGS
Brazil,1976,rutile,56,USGS
Brazil,1976,titanium ores and concentrates,16166,USGS
Brazil,1977,ilmenite and leucoxene,14625,USGS
Brazil,1977,rutile,141,USGS
Brazil,1977,titanium ores and concentrates,14766,USGS
Brazil,1978,ilmenite and leucoxene,22131,USGS
Brazil,1978,rutile,402,USGS
Brazil,1978,titanium ores and concentrates,22533,USGS
Brazil,1979,ilmenite and leucoxene,14541,USGS
Brazil,1979,rutile,484,USGS
Brazil,1979,titanium ores and concentrates,15025,USGS
Brazil,1980,ilmenite and leucoxene,18562,USGS
Brazil,1980,rutile,472,USGS
Brazil,1980,titanium ores and concentrates,19034,USGS
Brazil,1981,ilmenite and leucoxene,17478,USGS
Brazil,1981,rutile,190,USGS
Brazil,1981,titanium ores and concentrates,17668,USGS
Brazil,1982,ilmenite and leucoxene,12480,USGS
Brazil,1982,rutile,258,USGS
Brazil,1982,titanium ores and concentrates,12738,USGS
Brazil,1983,ilmenite and leucoxene,33568,USGS
Brazil,1983,rutile,510,USGS
Brazil,1983,titanium ores and concentrates,34078,USGS
Brazil,1984,ilmenite and leucoxene,45134,USGS
Brazil,1984,rutile,454,USGS
Brazil,1984,titanium ores and concentrates,45588,USGS
Brazil,1985,ilmenite and leucoxene,76354,USGS
Brazil,1985,rutile,713,USGS
Brazil,1985,titanium ores and concentrates,77067,USGS
Brazil,1986,ilmenite and leucoxene,75472,USGS
Brazil,1986,rutile,495,USGS
Brazil,1986,titanium ores and concentrates,75967,USGS
Brazil,1987,ilmenite and leucoxene,169303,USGS
Brazil,1987,rutile,324,USGS
Brazil,1987,titanium ores and concentrates,169627,USGS
Brazil,1988,ilmenite and leucoxene,142167,USGS
Brazil,1988,rutile,1514,USGS
Brazil,1988,titanium ores and concentrates,143681,USGS
Brazil,1989,ilmenite and leucoxene,144212,USGS
Brazil,1989,rutile,2613,USGS
Brazil,1989,titanium ores and concentrates,146825,USGS
Brazil,1990,ilmenite and leucoxene,114000,USGS
Brazil,1990,rutile,1810,USGS
Brazil,1990,titanium ores and concentrates,115810,USGS
Brazil,1991,ilmenite and leucoxene,69064,USGS
Brazil,1991,rutile,1094,USGS
Brazil,1991,titanium ores and concentrates,70158,USGS
Brazil,1992,ilmenite and leucoxene,76558,USGS
Brazil,1992,rutile,1798,USGS
Brazil,1992,titanium ores and concentrates,78356,USGS
Brazil,1993,ilmenite and leucoxene,90567,USGS
Brazil,1993,rutile,1744,USGS
Brazil,1993,titanium ores and concentrates,92311,USGS
Brazil,1994,ilmenite and leucoxene,97439,USGS
Brazil,1994,rutile,1911,USGS
Brazil,1994,titanium ores and concentrates,99350,USGS
Brazil,1995,ilmenite and leucoxene,102125,USGS
Brazil,1995,rutile,1985,USGS
Brazil,1995,titanium ores and concentrates,104110,USGS
Brazil,1996,ilmenite and leucoxene,97955,USGS
Brazil,1996,rutile,2018,USGS
Brazil,1996,titanium ores and concentrates,99973,USGS
Brazil,1997,ilmenite and leucoxene,97174,USGS
Brazil,1997,rutile,1742,USGS
Brazil,1997,titanium ores and concentrates,98916,USGS
Brazil,1998,ilmenite and leucoxene,103000,USGS
Brazil,1998,rutile,1800,USGS
Brazil,1998,titanium ores and concentrates,104800,USGS
Brazil,1999,ilmenite and leucoxene,96000,USGS
Brazil,1999,rutile,4300,USGS
Brazil,1999,titanium ores and concentrates,100300,USGS
Brazil,2000,ilmenite and leucoxene,123000,USGS
Brazil,2000,rutile,3162,USGS
Brazil,2000,titanium ores and concentrates,126162,USGS
Brazil,2001,ilmenite and leucoxene,144644,USGS
Brazil,2001,rutile,2270,USGS
Brazil,2001,titanium ores and concentrates,146914,USGS
Brazil,2002,ilmenite and leucoxene,177027,USGS
Brazil,2002,rutile,1878,USGS
Brazil,2002,titanium ores and concentrates,178905,USGS
Brazil,2003,ilmenite and leucoxene,218000,USGS
Brazil,2003,rutile,24500,USGS
Brazil,2003,titanium ores and concentrates,242500,USGS
Brazil,2004,ilmenite and leucoxene,75000,USGS
Brazil,2004,rutile,2500,USGS
Brazil,2004,titanium ores and concentrates,77500,USGS
Brazil,2005,ilmenite and leucoxene,81818,USGS
Brazil,2005,rutile,2069,USGS
Brazil,2005,titanium ores and concentrates,83887,USGS
Brazil,2006,ilmenite and leucoxene,94909,USGS
Brazil,2006,rutile,2100,USGS
Brazil,2006,titanium ores and concentrates,97009,USGS
Brazil,2007,ilmenite and leucoxene,100364,USGS
Brazil,2007,rutile,3000,USGS
Brazil,2007,titanium ores and concentrates,103364,USGS
Brazil,2008,ilmenite and leucoxene,130000,USGS
Brazil,2008,rutile,2309,USGS
Brazil,2008,titanium ores and concentrates,132309,USGS
Brazil,2009,ilmenite and leucoxene,52800,USGS
Brazil,2009,rutile,2737,USGS
Brazil,2009,titanium ores and concentrates,55537,USGS
Brazil,2010,ilmenite and leucoxene,166000,USGS
Brazil,2010,rutile,2331,USGS
Brazil,2010,titanium ores and concentrates,168331,USGS
Brazil,2011,ilmenite and leucoxene,114673,USGS
Brazil,2011,rutile,2474,USGS
Brazil,2011,titanium ores and concentrates,117147,USGS
Brazil,2012,ilmenite and leucoxene,115000,USGS
Brazil,2012,rutile,2090,USGS
Brazil,2012,titanium ores and concentrates,117090,USGS
Brazil,2013,ilmenite and leucoxene,78264,USGS
Brazil,2013,rutile,2246,USGS
Brazil,2013,titanium ores and concentrates,80510,USGS
Brazil,2014,ilmenite and leucoxene,136000,USGS
Brazil,2014,rutile,3100,USGS
Brazil,2014,titanium ores and concentrates,139100,USGS
Brazil,2015,ilmenite and leucoxene,133000,USGS
Brazil,2015,rutile,3300,USGS
Brazil,2015,titanium ores and concentrates,136300,USGS
Brazil,2016,ilmenite and leucoxene,106400,USGS
Brazil,2016,rutile,2700,USGS
Brazil,2016,titanium ores and concentrates,109100,USGS
Brazil,2017,ilmenite and leucoxene,67000,USGS
Brazil,2017,rutile,1000,USGS
Brazil,2017,titanium ores and concentrates,68000,USGS
Brazil,2018,ilmenite and leucoxene,110000,USGS
Brazil,2018,rutile,0,USGS
Brazil,2018,titanium ores and concentrates,110000,USGS
Brazil,2019,ilmenite and leucoxene,41000,USGS
Brazil,2019,rutile,0,USGS
Brazil,2019,titanium ores and concentrates,41000,USGS
Brazil,2020,ilmenite and leucoxene,56000,USGS
Brazil,2020,rutile,0,USGS
Brazil,2020,titanium ores and concentrates,56000,USGS
Brazil,2021,ilmenite and leucoxene,55000,USGS
Brazil,2021,rutile,0,USGS
Brazil,2021,titanium ores and concentrates,55000,USGS
Brazil,2022,ilmenite and leucoxene,47000,USGS
Brazil,2022,rutile,0,USGS
Brazil,2022,titanium ores and concentrates,47000,USGS
Cameroon,1950,rutile,28,USGS
Cameroon,1950,titanium ores and concentrates,28,USGS
Cameroon,1951,rutile,119,USGS
Cameroon,1951,titanium ores and concentrates,119,USGS
Cameroon,1952,rutile,324,USGS
Cameroon,1952,titanium ores and concentrates,324,USGS
Cameroon,1953,rutile,58,USGS
Cameroon,1953,titanium ores and concentrates,58,USGS
Cameroon,1954,rutile,0,USGS
Cameroon,1954,titanium ores and concentrates,0,USGS
Cameroon,1955,rutile,110,USGS
Cameroon,1955,titanium ores and concentrates,110,USGS
Cameroon,1956,rutile,168,USGS
Cameroon,1956,titanium ores and concentrates,168,USGS
Cameroon,1957,rutile,44,USGS
Cameroon,1957,titanium ores and concentrates,44,USGS
Cameroon,1958,rutile,0,USGS
Cameroon,1958,titanium ores and concentrates,0,USGS
Cameroon,1959,rutile,0,USGS
Cameroon,1959,titanium ores and concentrates,0,USGS
Cameroon,1960,rutile,0,USGS
Cameroon,1960,titanium ores and concentrates,0,USGS
Cameroon,1961,rutile,0,USGS
Cameroon,1961,titanium ores and concentrates,0,USGS
Cameroon,1962,rutile,0,USGS
Cameroon,1962,titanium ores and concentrates,0,USGS
Cameroon,1963,rutile,0,USGS
Cameroon,1963,titanium ores and concentrates,0,USGS
Cameroon,1964,rutile,0,USGS
Cameroon,1964,titanium ores and concentrates,0,USGS
Cameroon,1965,rutile,0,USGS
Cameroon,1965,titanium ores and concentrates,0,USGS
Cameroon,1966,rutile,0,USGS
Cameroon,1966,titanium ores and concentrates,0,USGS
Cameroon,1967,rutile,0,USGS
Cameroon,1967,titanium ores and concentrates,0,USGS
Cameroon,1968,rutile,0,USGS
Cameroon,1968,titanium ores and concentrates,0,USGS
Cameroon,1969,rutile,0,USGS
Cameroon,1969,titanium ores and concentrates,0,USGS
Cameroon,1970,rutile,0,USGS
Cameroon,1970,titanium ores and concentrates,0,USGS
Cameroon,1971,rutile,0,USGS
Cameroon,1971,titanium ores and concentrates,0,USGS
Cameroon,1972,rutile,0,USGS
Cameroon,1972,titanium ores and concentrates,0,USGS
Cameroon,1973,rutile,0,USGS
Cameroon,1973,titanium ores and concentrates,0,USGS
Cameroon,1974,rutile,0,USGS
Cameroon,1974,titanium ores and concentrates,0,USGS
Cameroon,1975,rutile,0,USGS
Cameroon,1975,titanium ores and concentrates,0,USGS
Cameroon,1976,rutile,0,USGS
Cameroon,1976,titanium ores and concentrates,0,USGS
Cameroon,1977,rutile,0,USGS
Cameroon,1977,titanium ores and concentrates,0,USGS
Cameroon,1978,rutile,0,USGS
Cameroon,1978,titanium ores and concentrates,0,USGS
Cameroon,1979,rutile,0,USGS
Cameroon,1979,titanium ores and concentrates,0,USGS
Cameroon,1980,rutile,0,USGS
Cameroon,1980,titanium ores and concentrates,0,USGS
Cameroon,1981,rutile,0,USGS
Cameroon,1981,titanium ores and concentrates,0,USGS
Cameroon,1982,rutile,0,USGS
Cameroon,1982,titanium ores and concentrates,0,USGS
Cameroon,1983,rutile,0,USGS
Cameroon,1983,titanium ores and concentrates,0,USGS
Cameroon,1984,rutile,0,USGS
Cameroon,1984,titanium ores and concentrates,0,USGS
Cameroon,1985,rutile,0,USGS
Cameroon,1985,titanium ores and concentrates,0,USGS
Cameroon,1986,rutile,0,USGS
Cameroon,1986,titanium ores and concentrates,0,USGS
Cameroon,1987,rutile,0,USGS
Cameroon,1987,titanium ores and concentrates,0,USGS
Cameroon,1988,rutile,0,USGS
Cameroon,1988,titanium ores and concentrates,0,USGS
Cameroon,1989,rutile,0,USGS
Cameroon,1989,titanium ores and concentrates,0,USGS
Cameroon,1990,rutile,0,USGS
Cameroon,1990,titanium ores and concentrates,0,USGS
Cameroon,1991,rutile,0,USGS
Cameroon,1991,titanium ores and concentrates,0,USGS
Cameroon,1992,rutile,0,USGS
Cameroon,1992,titanium ores and concentrates,0,USGS
Cameroon,1993,rutile,0,USGS
Cameroon,1993,titanium ores and concentrates,0,USGS
Cameroon,1994,rutile,0,USGS
Cameroon,1994,titanium ores and concentrates,0,USGS
Cameroon,1995,rutile,0,USGS
