Country,Year,Sub-commodity,Quantity in metric tons,Source
"Korea, Rep. of",1996,titanium ores and concentrates,389992,BGS
"Korea, Rep. of",1997,Ilmenite,344808,BGS
"Korea, Rep. of",1997,titanium ores and concentrates,344808,BGS
"Korea, Rep. of",1998,Ilmenite,241865,BGS
"Korea, Rep. of",1998,titanium ores and concentrates,241865,BGS
"Korea, Rep. of",1999,Ilmenite,203413,BGS
"Korea, Rep. of",1999,titanium ores and concentrates,203413,BGS
"Korea, Rep. of",2000,Ilmenite,168664,BGS
"Korea, Rep. of",2000,titanium ores and concentrates,168664,BGS
"Korea, Rep. of",2001,Ilmenite,161988,BGS
"Korea, Rep. of",2001,titanium ores and concentrates,161988,BGS
"Korea, Rep. of",2002,Ilmenite,142726,BGS
"Korea, Rep. of",2002,titanium ores and concentrates,142726,BGS
"Korea, Rep. of",2003,Ilmenite,114660,BGS
"Korea, Rep. of",2003,titanium ores and concentrates,114660,BGS
"Korea, Rep. of",2004,Ilmenite,150744,BGS
"Korea, Rep. of",2004,titanium ores and concentrates,150744,BGS
"Korea, Rep. of",2005,Ilmenite,157433,BGS
"Korea, Rep. of",2005,titanium ores and concentrates,157433,BGS
"Korea, Rep. of",2006,Ilmenite,179982,BGS
"Korea, Rep. of",2006,titanium ores and concentrates,179982,BGS
"Korea, Rep. of",2007,Ilmenite,193953,BGS
"Korea, Rep. of",2007,titanium ores and concentrates,193953,BGS
"Korea, Rep. of",2008,Ilmenite,226069,BGS
"Korea, Rep. of",2008,titanium ores and concentrates,226069,BGS
"Korea, Rep. of",2009,Ilmenite,120236,BGS
"Korea, Rep. of",2009,titanium ores and concentrates,120236,BGS
"Korea, Rep. of",2010,titanium ores and concentrates,0,BGS
"Korea, Rep. of",2011,Ilmenite,183463,BGS
"Korea, Rep. of",2011,titanium ores and concentrates,183463,BGS
"Korea, Rep. of",2012,Ilmenite,201976,BGS
"Korea, Rep. of",2012,titanium ores and concentrates,201976,BGS
"Korea, Rep. of",2013,Ilmenite,229723,BGS
"Korea, Rep. of",2013,titanium ores and concentrates,229723,BGS
"Korea, Rep. of",2014,Ilmenite,240892,BGS
"Korea, Rep. of",2014,titanium ores and concentrates,240892,BGS
"Korea, Rep. of",2015,Ilmenite,204082,BGS
"Korea, Rep. of",2015,titanium ores and concentrates,204082,BGS
"Korea, Rep. of",2016,Ilmenite,166900,BGS
"Korea, Rep. of",2016,titanium ores and concentrates,166900,BGS
"Korea, Rep. of",2017,Ilmenite,223039,BGS
"Korea, Rep. of",2017,titanium ores and concentrates,223039,BGS
"Korea, Rep. of",2018,Ilmenite,213184,BGS
"Korea, Rep. of",2018,titanium ores and concentrates,213184,BGS
"Korea, Rep. of",2019,Ilmenite,295987,BGS
"Korea, Rep. of",2019,titanium ores and concentrates,295987,BGS
"Korea, Rep. of",2020,Ilmenite,287895,BGS
"Korea, Rep. of",2020,titanium ores and concentrates,287895,BGS
"Korea, Rep. of",2021,Ilmenite,322581,BGS
"Korea, Rep. of",2021,titanium ores and concentrates,322581,BGS
"Korea, Rep. of",2022,Ilmenite,137976,BGS
"Korea, Rep. of",2022,titanium ores and concentrates,137976,BGS
Madagascar,1970,Ilmenite,0,BGS
Madagascar,1970,Rutile,0,BGS
Madagascar,1970,titanium ores and concentrates,0,BGS
Madagascar,1971,Ilmenite,0,BGS
Madagascar,1971,Rutile,0,BGS
Madagascar,1971,titanium ores and concentrates,0,BGS
Madagascar,1972,Ilmenite,0,BGS
Madagascar,1972,Rutile,0,BGS
Madagascar,1972,titanium ores and concentrates,0,BGS
Madagascar,1973,Ilmenite,0,BGS
Madagascar,1973,Rutile,0,BGS
Madagascar,1973,titanium ores and concentrates,0,BGS
Madagascar,1974,Ilmenite,0,BGS
Madagascar,1974,Rutile,0,BGS
Madagascar,1974,titanium ores and concentrates,0,BGS
Madagascar,1975,Ilmenite,0,BGS
Madagascar,1975,Rutile,0,BGS
Madagascar,1975,titanium ores and concentrates,0,BGS
Madagascar,1976,Ilmenite,0,BGS
Madagascar,1976,Rutile,0,BGS
Madagascar,1976,titanium ores and concentrates,0,BGS
Madagascar,1977,Ilmenite,0,BGS
Madagascar,1977,Rutile,0,BGS
Madagascar,1977,titanium ores and concentrates,0,BGS
Madagascar,1978,Ilmenite,0,BGS
Madagascar,1978,Rutile,0,BGS
Madagascar,1978,titanium ores and concentrates,0,BGS
Madagascar,1979,Ilmenite,0,BGS
Madagascar,1979,Rutile,0,BGS
Madagascar,1979,titanium ores and concentrates,0,BGS
Madagascar,1980,Ilmenite,0,BGS
Madagascar,1980,Rutile,0,BGS
Madagascar,1980,titanium ores and concentrates,0,BGS
Madagascar,1981,Ilmenite,0,BGS
Madagascar,1981,Rutile,0,BGS
Madagascar,1981,titanium ores and concentrates,0,BGS
Madagascar,1982,Ilmenite,0,BGS
Madagascar,1982,Rutile,0,BGS
Madagascar,1982,titanium ores and concentrates,0,BGS
Madagascar,1983,Ilmenite,0,BGS
Madagascar,1983,Rutile,0,BGS
Madagascar,1983,titanium ores and concentrates,0,BGS
Madagascar,1984,Ilmenite,0,BGS
Madagascar,1984,Rutile,0,BGS
Madagascar,1984,titanium ores and concentrates,0,BGS
Madagascar,1985,Ilmenite,0,BGS
Madagascar,1985,Rutile,0,BGS
Madagascar,1985,titanium ores and concentrates,0,BGS
Madagascar,1986,Ilmenite,0,BGS
Madagascar,1986,Rutile,0,BGS
Madagascar,1986,titanium ores and concentrates,0,BGS
Madagascar,1987,Ilmenite,0,BGS
Madagascar,1987,Rutile,0,BGS
Madagascar,1987,titanium ores and concentrates,0,BGS
Madagascar,1988,Ilmenite,0,BGS
Madagascar,1988,Rutile,0,BGS
Madagascar,1988,titanium ores and concentrates,0,BGS
Madagascar,1989,Ilmenite,0,BGS
Madagascar,1989,Rutile,0,BGS
Madagascar,1989,titanium ores and concentrates,0,BGS
Madagascar,1990,Ilmenite,0,BGS
Madagascar,1990,Rutile,0,BGS
Madagascar,1990,titanium ores and concentrates,0,BGS
Madagascar,1991,Ilmenite,0,BGS
Madagascar,1991,Rutile,0,BGS
Madagascar,1991,titanium ores and concentrates,0,BGS
Madagascar,1992,Ilmenite,0,BGS
Madagascar,1992,Rutile,0,BGS
Madagascar,1992,titanium ores and concentrates,0,BGS
Madagascar,1993,Ilmenite,0,BGS
Madagascar,1993,Rutile,0,BGS
Madagascar,1993,titanium ores and concentrates,0,BGS
Madagascar,1994,Ilmenite,0,BGS
Madagascar,1994,Rutile,0,BGS
Madagascar,1994,titanium ores and concentrates,0,BGS
Madagascar,1995,Ilmenite,0,BGS
Madagascar,1995,Rutile,0,BGS
Madagascar,1995,titanium ores and concentrates,0,BGS
Madagascar,1996,Ilmenite,0,BGS
Madagascar,1996,Rutile,0,BGS
Madagascar,1996,titanium ores and concentrates,0,BGS
Madagascar,1997,Ilmenite,0,BGS
Madagascar,1997,Rutile,0,BGS
Madagascar,1997,titanium ores and concentrates,0,BGS
Madagascar,1998,Ilmenite,0,BGS
Madagascar,1998,Rutile,0,BGS
Madagascar,1998,titanium ores and concentrates,0,BGS
Madagascar,1999,Ilmenite,0,BGS
Madagascar,1999,Rutile,0,BGS
Madagascar,1999,titanium ores and concentrates,0,BGS
Madagascar,2000,Ilmenite,0,BGS
Madagascar,2000,Rutile,0,BGS
Madagascar,2000,titanium ores and concentrates,0,BGS
Madagascar,2001,Ilmenite,0,BGS
Madagascar,2001,Rutile,0,BGS
Madagascar,2001,titanium ores and concentrates,0,BGS
Madagascar,2002,Ilmenite,0,BGS
Madagascar,2002,Rutile,0,BGS
Madagascar,2002,titanium ores and concentrates,0,BGS
Madagascar,2003,Ilmenite,0,BGS
Madagascar,2003,Rutile,0,BGS
Madagascar,2003,titanium ores and concentrates,0,BGS
Madagascar,2004,Ilmenite,0,BGS
Madagascar,2004,Rutile,0,BGS
Madagascar,2004,titanium ores and concentrates,0,BGS
Madagascar,2005,Ilmenite,0,BGS
Madagascar,2005,Rutile,0,BGS
Madagascar,2005,titanium ores and concentrates,0,BGS
Madagascar,2006,Ilmenite,0,BGS
Madagascar,2006,Rutile,0,BGS
Madagascar,2006,titanium ores and concentrates,0,BGS
Madagascar,2007,Ilmenite,0,BGS
Madagascar,2007,Rutile,0,BGS
Madagascar,2007,titanium ores and concentrates,0,BGS
Madagascar,2008,Ilmenite,0,BGS
Madagascar,2008,Rutile,0,BGS
Madagascar,2008,titanium ores and concentrates,0,BGS
Madagascar,2009,Ilmenite,160000,BGS
Madagascar,2009,Rutile,0,BGS
Madagascar,2009,titanium ores and concentrates,160000,BGS
Madagascar,2010,Ilmenite,273000,BGS
Madagascar,2010,Rutile,0,BGS
Madagascar,2010,titanium ores and concentrates,273000,BGS
Madagascar,2011,Ilmenite,511000,BGS
Madagascar,2011,Rutile,0,BGS
Madagascar,2011,titanium ores and concentrates,511000,BGS
Madagascar,2012,Ilmenite,562000,BGS
Madagascar,2012,Rutile,0,BGS
Madagascar,2012,titanium ores and concentrates,562000,BGS
Madagascar,2013,Ilmenite,562000,BGS
Madagascar,2013,Rutile,0,BGS
Madagascar,2013,titanium ores and concentrates,562000,BGS
Madagascar,2014,Ilmenite,353000,BGS
Madagascar,2014,Rutile,0,BGS
Madagascar,2014,titanium ores and concentrates,353000,BGS
Madagascar,2015,Ilmenite,182000,BGS
Madagascar,2015,Rutile,0,BGS
Madagascar,2015,titanium ores and concentrates,182000,BGS
Madagascar,2016,Ilmenite,270000,BGS
Madagascar,2016,Rutile,0,BGS
Madagascar,2016,titanium ores and concentrates,270000,BGS
Madagascar,2017,Ilmenite,350000,BGS
Madagascar,2017,Rutile,0,BGS
Madagascar,2017,titanium ores and concentrates,350000,BGS
Madagascar,2018,Ilmenite,350000,BGS
Madagascar,2018,Rutile,0,BGS
Madagascar,2018,titanium ores and concentrates,350000,BGS
Madagascar,2019,Ilmenite,350000,BGS
Madagascar,2019,Rutile,0,BGS
Madagascar,2019,titanium ores and concentrates,350000,BGS
Madagascar,2020,Ilmenite,350000,BGS
Madagascar,2020,Rutile,0,BGS
Madagascar,2020,titanium ores and concentrates,350000,BGS
Madagascar,2021,Ilmenite,350000,BGS
Madagascar,2021,Rutile,0,BGS
Madagascar,2021,titanium ores and concentrates,350000,BGS
Madagascar,2022,Ilmenite,350000,BGS
Madagascar,2022,Rutile,0,BGS
Madagascar,2022,titanium ores and concentrates,350000,BGS
Malaysia,1970,Ilmenite,0,BGS
Malaysia,1970,titanium ores and concentrates,0,BGS
Malaysia,1971,Ilmenite,0,BGS
Malaysia,1971,titanium ores and concentrates,0,BGS
Malaysia,1972,Ilmenite,0,BGS
Malaysia,1972,titanium ores and concentrates,0,BGS
Malaysia,1973,Ilmenite,0,BGS
Malaysia,1973,titanium ores and concentrates,0,BGS
Malaysia,1974,Ilmenite,0,BGS
Malaysia,1974,titanium ores and concentrates,0,BGS
Malaysia,1975,Ilmenite,0,BGS
Malaysia,1975,titanium ores and concentrates,0,BGS
Malaysia,1976,Ilmenite,180004,BGS
Malaysia,1976,titanium ores and concentrates,180004,BGS
Malaysia,1977,Ilmenite,153679,BGS
Malaysia,1977,titanium ores and concentrates,153679,BGS
Malaysia,1978,Ilmenite,165984,BGS
Malaysia,1978,titanium ores and concentrates,165984,BGS
Malaysia,1979,Ilmenite,212837,BGS
Malaysia,1979,titanium ores and concentrates,212837,BGS
Malaysia,1980,Ilmenite,199486,BGS
Malaysia,1980,titanium ores and concentrates,199486,BGS
Malaysia,1981,Ilmenite,176432,BGS
Malaysia,1981,titanium ores and concentrates,176432,BGS
Malaysia,1982,Ilmenite,77159,BGS
Malaysia,1982,titanium ores and concentrates,77159,BGS
Malaysia,1983,Ilmenite,207297,BGS
Malaysia,1983,titanium ores and concentrates,207297,BGS
Malaysia,1984,Ilmenite,224042,BGS
Malaysia,1984,titanium ores and concentrates,224042,BGS
Malaysia,1985,Ilmenite,315736,BGS
Malaysia,1985,titanium ores and concentrates,315736,BGS
Malaysia,1986,Ilmenite,414941,BGS
Malaysia,1986,titanium ores and concentrates,414941,BGS
Malaysia,1987,Ilmenite,509202,BGS
Malaysia,1987,titanium ores and concentrates,509202,BGS
Malaysia,1988,Ilmenite,486305,BGS
Malaysia,1988,titanium ores and concentrates,486305,BGS
Malaysia,1989,Ilmenite,533637,BGS
Malaysia,1989,titanium ores and concentrates,533637,BGS
Malaysia,1990,Ilmenite,530237,BGS
Malaysia,1990,titanium ores and concentrates,530237,BGS
Malaysia,1991,Ilmenite,336347,BGS
Malaysia,1991,titanium ores and concentrates,336347,BGS
Malaysia,1992,Ilmenite,337744,BGS
Malaysia,1992,titanium ores and concentrates,337744,BGS
Malaysia,1993,Ilmenite,278950,BGS
Malaysia,1993,titanium ores and concentrates,278950,BGS
Malaysia,1994,Ilmenite,116696,BGS
Malaysia,1994,titanium ores and concentrates,116696,BGS
Malaysia,1995,Ilmenite,151680,BGS
Malaysia,1995,titanium ores and concentrates,151680,BGS
Malaysia,1996,Ilmenite,244642,BGS
Malaysia,1996,titanium ores and concentrates,244642,BGS
Malaysia,1997,Ilmenite,167504,BGS
Malaysia,1997,titanium ores and concentrates,167504,BGS
Malaysia,1998,Ilmenite,124689,BGS
Malaysia,1998,titanium ores and concentrates,124689,BGS
Malaysia,1999,Ilmenite,127695,BGS
Malaysia,1999,titanium ores and concentrates,127695,BGS
Malaysia,2000,Ilmenite,124801,BGS
Malaysia,2000,Rutile,0,BGS
Malaysia,2000,titanium ores and concentrates,124801,BGS
Malaysia,2001,Ilmenite,129750,BGS
Malaysia,2001,Rutile,0,BGS
Malaysia,2001,titanium ores and concentrates,129750,BGS
Malaysia,2002,Ilmenite,106198,BGS
Malaysia,2002,Rutile,7059,BGS
Malaysia,2002,titanium ores and concentrates,113257,BGS
Malaysia,2003,Ilmenite,95148,BGS
Malaysia,2003,Rutile,18472,BGS
Malaysia,2003,titanium ores and concentrates,113620,BGS
Malaysia,2004,Ilmenite,61471,BGS
Malaysia,2004,Rutile,27308,BGS
Malaysia,2004,titanium ores and concentrates,88779,BGS
Malaysia,2005,Ilmenite,38195,BGS
Malaysia,2005,Rutile,5509,BGS
Malaysia,2005,titanium ores and concentrates,43704,BGS
Malaysia,2006,Ilmenite,45649,BGS
Malaysia,2006,Rutile,16921,BGS
Malaysia,2006,titanium ores and concentrates,62570,BGS
Malaysia,2007,Ilmenite,59310,BGS
Malaysia,2007,Rutile,1450,BGS
Malaysia,2007,titanium ores and concentrates,60760,BGS
Malaysia,2008,Ilmenite,36779,BGS
Malaysia,2008,Rutile,1834,BGS
Malaysia,2008,titanium ores and concentrates,38613,BGS
Malaysia,2009,Ilmenite,15983,BGS
Malaysia,2009,Rutile,1502,BGS
Malaysia,2009,titanium ores and concentrates,17485,BGS
Malaysia,2010,Ilmenite,19036,BGS
Malaysia,2010,Rutile,7567,BGS
Malaysia,2010,titanium ores and concentrates,26603,BGS
Malaysia,2011,Ilmenite,28782,BGS
Malaysia,2011,Rutile,10810,BGS
Malaysia,2011,titanium ores and concentrates,39592,BGS
Malaysia,2012,Ilmenite,22275,BGS
Malaysia,2012,Rutile,20008,BGS
Malaysia,2012,titanium ores and concentrates,42283,BGS
Malaysia,2013,Ilmenite,16043,BGS
Malaysia,2013,Rutile,5983,BGS
Malaysia,2013,titanium ores and concentrates,22026,BGS
Malaysia,2014,Ilmenite,8159,BGS
Malaysia,2014,Rutile,3069,BGS
Malaysia,2014,titanium ores and concentrates,11228,BGS
Malaysia,2015,Ilmenite,5814,BGS
Malaysia,2015,Rutile,0.198,BGS
Malaysia,2015,titanium ores and concentrates,6012,BGS
Malaysia,2016,Ilmenite,4316,BGS
Malaysia,2016,Rutile,3810,BGS
Malaysia,2016,titanium ores and concentrates,8126,BGS
Malaysia,2017,Ilmenite,6363,BGS
Malaysia,2017,Rutile,5266,BGS
Malaysia,2017,titanium ores and concentrates,11629,BGS
Malaysia,2018,Ilmenite,14158,BGS
Malaysia,2018,Rutile,5070,BGS
Malaysia,2018,titanium ores and concentrates,19228,BGS
Malaysia,2019,Ilmenite,2334,BGS
Malaysia,2019,Rutile,5947,BGS
Malaysia,2019,titanium ores and concentrates,8281,BGS
Malaysia,2020,Ilmenite,2548,BGS
Malaysia,2020,Rutile,5136,BGS
Malaysia,2020,titanium ores and concentrates,7684,BGS
Malaysia,2021,Ilmenite,4598,BGS
Malaysia,2021,Rutile,11513,BGS
Malaysia,2021,titanium ores and concentrates,16111,BGS
Malaysia,2022,Ilmenite,24076,BGS
Malaysia,2022,Rutile,8359,BGS
Malaysia,2022,titanium ores and concentrates,32435,BGS
Mozambique,1970,Ilmenite,0,BGS
Mozambique,1970,Rutile,0,BGS
Mozambique,1970,titanium ores and concentrates,0,BGS
Mozambique,1971,Ilmenite,0,BGS
Mozambique,1971,Rutile,0,BGS
Mozambique,1971,titanium ores and concentrates,0,BGS
Mozambique,1972,Ilmenite,0,BGS
Mozambique,1972,Rutile,0,BGS
Mozambique,1972,titanium ores and concentrates,0,BGS
Mozambique,1973,Ilmenite,0,BGS
Mozambique,1973,Rutile,0,BGS
Mozambique,1973,titanium ores and concentrates,0,BGS
Mozambique,1974,Ilmenite,0,BGS
Mozambique,1974,Rutile,0,BGS
Mozambique,1974,titanium ores and concentrates,0,BGS
Mozambique,1975,Ilmenite,0,BGS
Mozambique,1975,Rutile,0,BGS
Mozambique,1975,titanium ores and concentrates,0,BGS
Mozambique,1976,Ilmenite,0,BGS
Mozambique,1976,Rutile,0,BGS
Mozambique,1976,titanium ores and concentrates,0,BGS
Mozambique,1977,Ilmenite,0,BGS
Mozambique,1977,Rutile,0,BGS
Mozambique,1977,titanium ores and concentrates,0,BGS
Mozambique,1978,Ilmenite,0,BGS
Mozambique,1978,Rutile,0,BGS
Mozambique,1978,titanium ores and concentrates,0,BGS
Mozambique,1979,Ilmenite,0,BGS
Mozambique,1979,Rutile,0,BGS
Mozambique,1979,titanium ores and concentrates,0,BGS
Mozambique,1980,Ilmenite,0,BGS
Mozambique,1980,Rutile,0,BGS
Mozambique,1980,titanium ores and concentrates,0,BGS
Mozambique,1981,Ilmenite,0,BGS
Mozambique,1981,Rutile,0,BGS
Mozambique,1981,titanium ores and concentrates,0,BGS
Mozambique,1982,Ilmenite,0,BGS
Mozambique,1982,Rutile,0,BGS
Mozambique,1982,titanium ores and concentrates,0,BGS
Mozambique,1983,Ilmenite,0,BGS
Mozambique,1983,Rutile,0,BGS
Mozambique,1983,titanium ores and concentrates,0,BGS
Mozambique,1984,Ilmenite,0,BGS
Mozambique,1984,Rutile,0,BGS
Mozambique,1984,titanium ores and concentrates,0,BGS
Mozambique,1985,Ilmenite,0,BGS
Mozambique,1985,Rutile,0,BGS
Mozambique,1985,titanium ores and concentrates,0,BGS
Mozambique,1986,Ilmenite,0,BGS
Mozambique,1986,Rutile,0,BGS
Mozambique,1986,titanium ores and concentrates,0,BGS
Mozambique,1987,Ilmenite,0,BGS
Mozambique,1987,Rutile,0,BGS
Mozambique,1987,titanium ores and concentrates,0,BGS
Mozambique,1988,Ilmenite,0,BGS
Mozambique,1988,Rutile,0,BGS
Mozambique,1988,titanium ores and concentrates,0,BGS
Mozambique,1989,Ilmenite,0,BGS
Mozambique,1989,Rutile,0,BGS
Mozambique,1989,titanium ores and concentrates,0,BGS
Mozambique,1990,Ilmenite,0,BGS
Mozambique,1990,Rutile,0,BGS
Mozambique,1990,titanium ores and concentrates,0,BGS
Mozambique,1991,Ilmenite,0,BGS
Mozambique,1991,Rutile,0,BGS
Mozambique,1991,titanium ores and concentrates,0,BGS
Mozambique,1992,Ilmenite,0,BGS
Mozambique,1992,Rutile,0,BGS
Mozambique,1992,titanium ores and concentrates,0,BGS
Mozambique,1993,Ilmenite,0,BGS
Mozambique,1993,Rutile,0,BGS
Mozambique,1993,titanium ores and concentrates,0,BGS
Mozambique,1994,Ilmenite,0,BGS
Mozambique,1994,Rutile,0,BGS
Mozambique,1994,titanium ores and concentrates,0,BGS
Mozambique,1995,Ilmenite,0,BGS
Mozambique,1995,Rutile,0,BGS
Mozambique,1995,titanium ores and concentrates,0,BGS
Mozambique,1996,Ilmenite,0,BGS
Mozambique,1996,Rutile,0,BGS
Mozambique,1996,titanium ores and concentrates,0,BGS
Mozambique,1997,Ilmenite,0,BGS
Mozambique,1997,Rutile,0,BGS
Mozambique,1997,titanium ores and concentrates,0,BGS
Mozambique,1998,Ilmenite,0,BGS
Mozambique,1998,Rutile,0,BGS
Mozambique,1998,titanium ores and concentrates,0,BGS
Mozambique,1999,Ilmenite,0,BGS
Mozambique,1999,Rutile,0,BGS
Mozambique,2000,Ilmenite,0,BGS
Mozambique,2000,Rutile,0,BGS
Mozambique,2000,titanium ores and concentrates,0,BGS
Mozambique,2001,Ilmenite,0,BGS
Mozambique,2001,Rutile,0,BGS
Mozambique,2001,titanium ores and concentrates,0,BGS
Mozambique,2002,Ilmenite,0,BGS
Mozambique,2002,Rutile,0,BGS
Mozambique,2002,titanium ores and concentrates,0,BGS
Mozambique,2003,Ilmenite,0,BGS
Mozambique,2003,Rutile,0,BGS
Mozambique,2003,titanium ores and concentrates,0,BGS
Mozambique,2004,Ilmenite,0,BGS
Mozambique,2004,Rutile,0,BGS
Mozambique,2004,titanium ores and concentrates,0,BGS
Mozambique,2005,Ilmenite,0,BGS
Mozambique,2005,Rutile,0,BGS
Mozambique,2005,titanium ores and concentrates,0,BGS
Mozambique,2006,Ilmenite,0,BGS
Mozambique,2006,Rutile,0,BGS
Mozambique,2006,titanium ores and concentrates,0,BGS
Mozambique,2007,Ilmenite,140515,BGS
Mozambique,2007,Rutile,8782,BGS
Mozambique,2007,titanium ores and concentrates,149297,BGS
Mozambique,2008,Ilmenite,328875,BGS
Mozambique,2008,Rutile,6552,BGS
Mozambique,2008,titanium ores and concentrates,335427,BGS
Mozambique,2009,Ilmenite,471524,BGS
Mozambique,2009,Rutile,1800,BGS
Mozambique,2009,titanium ores and concentrates,473324,BGS
Mozambique,2010,Ilmenite,678400,BGS
Mozambique,2010,Rutile,4700,BGS
Mozambique,2010,titanium ores and concentrates,683100,BGS
Mozambique,2011,Ilmenite,636800,BGS
Mozambique,2011,Rutile,6500,BGS
Mozambique,2011,titanium ores and concentrates,643300,BGS
Mozambique,2012,Ilmenite,574500,BGS
Mozambique,2012,Rutile,5100,BGS
Mozambique,2012,titanium ores and concentrates,579600,BGS
Mozambique,2013,Ilmenite,720100,BGS
Mozambique,2013,Rutile,4000,BGS
Mozambique,2013,titanium ores and concentrates,724100,BGS
Mozambique,2014,Ilmenite,854600,BGS
Mozambique,2014,Rutile,6100,BGS
Mozambique,2014,titanium ores and concentrates,860700,BGS
Mozambique,2015,Ilmenite,763500,BGS
Mozambique,2015,Rutile,6000,BGS
Mozambique,2015,titanium ores and concentrates,769500,BGS
Mozambique,2016,Ilmenite,903300,BGS
Mozambique,2016,Rutile,7800,BGS
Mozambique,2016,titanium ores and concentrates,911100,BGS
Mozambique,2017,Ilmenite,998200,BGS
Mozambique,2017,Rutile,9133,BGS
Mozambique,2017,titanium ores and concentrates,1007333,BGS
Mozambique,2018,Ilmenite,958500,BGS
Mozambique,2018,Rutile,8154,BGS
Mozambique,2018,titanium ores and concentrates,966654,BGS
Mozambique,2019,Ilmenite,892900,BGS
Mozambique,2019,Rutile,8278,BGS
Mozambique,2019,titanium ores and concentrates,901178,BGS
Mozambique,2020,Ilmenite,756000,BGS
Mozambique,2020,Rutile,5957,BGS
Mozambique,2020,titanium ores and concentrates,761957,BGS
Mozambique,2021,Ilmenite,1119400,BGS
Mozambique,2021,Rutile,8914,BGS
Mozambique,2021,titanium ores and concentrates,1128314,BGS
Mozambique,2022,Ilmenite,1088334,BGS
Mozambique,2022,Rutile,8870,BGS
Mozambique,2022,titanium ores and concentrates,1097204,BGS
Norway,1970,Ilmenite,578961,BGS
Norway,1970,titanium ores and concentrates,578961,BGS
Norway,1971,Ilmenite,641604,BGS
Norway,1971,titanium ores and concentrates,641604,BGS
Norway,1972,Ilmenite,608477,BGS
Norway,1972,titanium ores and concentrates,608477,BGS
Norway,1973,Ilmenite,752934,BGS
Norway,1973,titanium ores and concentrates,752934,BGS
Norway,1974,Ilmenite,848138,BGS
Norway,1974,titanium ores and concentrates,848138,BGS
Norway,1975,Ilmenite,526666,BGS
Norway,1975,titanium ores and concentrates,526666,BGS
Norway,1976,Ilmenite,766664,BGS
Norway,1976,titanium ores and concentrates,766664,BGS
Norway,1977,Ilmenite,828503,BGS
Norway,1977,titanium ores and concentrates,828503,BGS
Norway,1978,Ilmenite,766990,BGS
Norway,1978,titanium ores and concentrates,766990,BGS
Norway,1979,Ilmenite,819815,BGS
Norway,1979,titanium ores and concentrates,819815,BGS
Norway,1980,Ilmenite,827827,BGS
Norway,1980,titanium ores and concentrates,827827,BGS
Norway,1981,Ilmenite,659604,BGS
Norway,1981,titanium ores and concentrates,659604,BGS
Norway,1982,Ilmenite,551764,BGS
Norway,1982,titanium ores and concentrates,551764,BGS
Norway,1983,Ilmenite,555947,BGS
Norway,1983,titanium ores and concentrates,555947,BGS
Norway,1984,Ilmenite,651834,BGS
Norway,1984,titanium ores and concentrates,651834,BGS
Norway,1985,Ilmenite,735842,BGS
Norway,1985,titanium ores and concentrates,735842,BGS
Norway,1986,Ilmenite,802426,BGS
Norway,1986,titanium ores and concentrates,802426,BGS
Norway,1987,Ilmenite,852323,BGS
Norway,1987,titanium ores and concentrates,852323,BGS
Norway,1988,Ilmenite,898035,BGS
Norway,1988,titanium ores and concentrates,898035,BGS
Norway,1989,Ilmenite,929830,BGS
Norway,1989,titanium ores and concentrates,929830,BGS
Norway,1990,Ilmenite,788522,BGS
Norway,1990,titanium ores and concentrates,788522,BGS
Norway,1991,Ilmenite,615416,BGS
Norway,1991,titanium ores and concentrates,615416,BGS
Norway,1992,Ilmenite,708149,BGS
Norway,1992,titanium ores and concentrates,708149,BGS
Norway,1993,Ilmenite,713113,BGS
Norway,1993,titanium ores and concentrates,713113,BGS
Norway,1994,Ilmenite,826391,BGS
Norway,1994,titanium ores and concentrates,826391,BGS
Norway,1995,Ilmenite,857747,BGS
Norway,1995,titanium ores and concentrates,857747,BGS
Norway,1996,Ilmenite,758711,BGS
Norway,1996,titanium ores and concentrates,758711,BGS
Norway,1997,Ilmenite,558000,BGS
Norway,1997,titanium ores and concentrates,558000,BGS
Norway,1998,Ilmenite,589534,BGS
Norway,1998,titanium ores and concentrates,589534,BGS
Norway,1999,Ilmenite,579623,BGS
Norway,1999,titanium ores and concentrates,579623,BGS
Norway,2000,Ilmenite,690900,BGS
Norway,2000,titanium ores and concentrates,690900,BGS
Norway,2001,Ilmenite,777000,BGS
Norway,2001,titanium ores and concentrates,777000,BGS
Norway,2002,Ilmenite,837000,BGS
Norway,2002,titanium ores and concentrates,837000,BGS
Norway,2003,Ilmenite,859000,BGS
Norway,2003,titanium ores and concentrates,859000,BGS
Norway,2004,Ilmenite,866700,BGS
Norway,2004,titanium ores and concentrates,866700,BGS
Norway,2005,Ilmenite,806800,BGS
Norway,2005,titanium ores and concentrates,806800,BGS
Norway,2006,Ilmenite,850000,BGS
Norway,2006,titanium ores and concentrates,850000,BGS
Norway,2007,Ilmenite,882000,BGS
Norway,2007,titanium ores and concentrates,882000,BGS
Norway,2008,Ilmenite,915000,BGS
Norway,2008,titanium ores and concentrates,915000,BGS
Norway,2009,Ilmenite,671000,BGS
Norway,2009,titanium ores and concentrates,671000,BGS
Norway,2010,Ilmenite,864000,BGS
Norway,2010,titanium ores and concentrates,864000,BGS
Norway,2011,Ilmenite,870000,BGS
Norway,2011,titanium ores and concentrates,870000,BGS
Norway,2012,Ilmenite,830614,BGS
Norway,2012,titanium ores and concentrates,830614,BGS
Norway,2013,Ilmenite,826126,BGS
Norway,2013,titanium ores and concentrates,826126,BGS
